!!!SBtab Document='Model' DocumentName='ECM metabolic state'					
					
!!SBtab TableName='Metabolite concentrations' TableID='MetaboliteConcentration' TableType='QuantityMatrix' Unit='mM'					
!QuantityType	!Compound	data	fixed	initial	emc4cm
rate of reaction	tkt2	0.0273			
rate of reaction	fbp	0			
rate of reaction	gltA	0.154			
rate of reaction	acn1	0.154			
rate of reaction	acn2	0.154			
rate of reaction	icd	0.154			
rate of reaction	kgd	0.0924			
rate of reaction	suc	0.1673			
rate of reaction	sdh	0.0924			
rate of reaction	fum	0.0924			
rate of reaction	mdh	0.0602			
rate of reaction	ppc	-0.2114			
